City,County
Aaronsburg,Centre
Abbottstown,Adams
Abington,Montgomery
Acme,Westmoreland
Adah,Fayette
Adamsburg,Westmoreland
Adamsville,Crawford
Addison,Somerset
Adrian,Armstrong
Airville,York
Akron,Lancaster
Alba,Bradford
Albion,Erie
Albrightsville,Carbon
Alburtis,Lehigh
Aleppo,Greene
Alexandria,Huntingdon
Aliquippa,Beaver
Allensville,Mifflin
Allentown,Lehigh
Allenwood,Lycoming
Allison,Fayette
Allison Park,Allegheny
Allport,Clearfield
Altoona,Blair
Alum Bank,Bedford
Alverton,Westmoreland
Ambler,Montgomery
Ambridge,Beaver
Amity,Washington
Andreas,Schuylkill
Anita,Jefferson
Annville,Lebanon
Apollo,Westmoreland
Archbald,Lackawanna
Ardara,Westmoreland
Ardmore,Montgomery
Armagh,Indiana
Artemas,Bedford
Ashland,Schuylkill
Ashville,Cambria
Aspers,Adams
Aston,Delaware
Atglen,Chester
Athens,Bradford
Atlantic,Crawford
Auburn,Schuylkill
Aultman,Indiana
Austin,Potter
Avella,Washington
Avondale,Chester
Avonmore,Westmoreland
Baden,Beaver
Bainbridge,Lancaster
Bakerstown,Allegheny
Bala Cynwyd,Montgomery
Bally,Berks
Bangor,Northampton
Barnesville,Schuylkill
Barto,Berks
Bartonsville,Monroe
Bath,Northampton
Beach Lake,Wayne
Bear Lake,Warren
Beaver,Beaver
Beaver Falls,Beaver
Beaver Meadows,Luzerne
Beaver Springs,Snyder
Beavertown,Snyder
Beccaria,Clearfield
Bechtelsville,Berks
Bedford,Bedford
Beech Creek,Clinton
Belle Vernon,Fayette
Bellefonte,Centre
Belleville,Mifflin
Bellwood,Blair
Benezett,Elk
Bensalem,Bucks
Bentleyville,Washington
Benton,Columbia
Berlin,Somerset
Bernville,Berks
Berwick,Columbia
Berwyn,Chester
Bessemer,Lawrence
Bethel,Berks
Bethel Park,Allegheny
Bethlehem,Northampton
Big Cove Tannery,Fulton
Biglerville,Adams
Bird In Hand,Lancaster
Birdsboro,Berks
Blain,Perry
Blairs Mills,Huntingdon
Blairsville,Indiana
Blakeslee,Monroe
Blandon,Berks
Bloomsburg,Columbia
Blossburg,Tioga
Blue Bell,Montgomery
Blue Ridge Summit,Franklin
Boalsburg,Centre
Boiling Springs,Cumberland
Bolivar,Westmoreland
Boswell,Somerset
Boyers,Butler
Boyertown,Berks
Brackenridge,Allegheny
Brackney,Susquehanna
Braddock,Allegheny
Bradenville,Westmoreland
Bradford,Mckean
Bradfordwoods,Allegheny
Brandy Camp,Elk
Brave,Greene
Breezewood,Bedford
Breinigsville,Lehigh
Bridgeport,Montgomery
Bridgeville,Allegheny
Bristol,Bucks
Broad Top,Huntingdon
Brockport,Elk
Brockton,Schuylkill
Brockway,Jefferson
Brodheadsville,Monroe
Brogue,York
Brookhaven,Delaware
Brookville,Jefferson
Broomall,Delaware
Brownsville,Fayette
Bryn Mawr,Delaware
Buena Vista,Allegheny
Buffalo Mills,Bedford
Bulger,Washington
Burgettstown,Washington
Burnham,Mifflin
Burnt Cabins,Fulton
Bushkill,Pike
Butler,Butler
Byrnedale,Elk
Cabot,Butler
Cairnbrook,Somerset
California,Washington
Calvin,Huntingdon
Cambridge Springs,Crawford
Cammal,Lycoming
Camp Hill,Cumberland
Canadensis,Monroe
Canonsburg,Washington
Canton,Bradford
Carbondale,Lackawanna
Carlisle,Cumberland
Carlton,Mercer
Carmichaels,Greene
Carnegie,Allegheny
Carrolltown,Cambria
Carversville,Bucks
Cassville,Huntingdon
Catasauqua,Lehigh
Catawissa,Columbia
Cecil,Washington
Cedar Run,Lycoming
Center Valley,Lehigh
Centerville,Crawford
Central City,Somerset
Centre Hall,Centre
Chadds Ford,Delaware
Chalfont,Bucks
Chambersburg,Franklin
Champion,Westmoreland
Charleroi,Washington
Cheltenham,Montgomery
Cherry Tree,Indiana
Cherryville,Northampton
Chester,Delaware
Chester Springs,Chester
Cheswick,Allegheny
Cheyney,Delaware
Chicora,Butler
Christiana,Lancaster
Clairton,Allegheny
Clarence,Centre
Clarendon,Warren
Claridge,Westmoreland
Clarington,Forest
Clarion,Clarion
Clarks Mills,Mercer
Clarks Summit,Lackawanna
Clarksburg,Indiana
Clarksville,Greene
Claysburg,Blair
Claysville,Washington
Clearfield,Clearfield
Clearville,Bedford
Clifton Heights,Delaware
Clinton,Beaver
Clymer,Indiana
Coal Center,Washington
Coal Township,Northumberland
Coaldale,Schuylkill
Coalport,Clearfield
Coatesville,Chester
Coburn,Centre
Cochranton,Crawford
Cochranville,Chester
Cocolamus,Juniata
Cogan Station,Lycoming
Collegeville,Montgomery
Colmar,Montgomery
Columbia,Lancaster
Columbia Cross Roads,Bradford
Columbus,Warren
Colver,Cambria
Commodore,Indiana
Concord,Franklin
Concordville,Delaware
Conestoga,Lancaster
Confluence,Somerset
Conneaut Lake,Crawford
Conneautville,Crawford
Connellsville,Fayette
Conshohocken,Montgomery
Conway,Beaver
Cooksburg,Forest
Coolspring,Jefferson
Coopersburg,Lehigh
Cooperstown,Venango
Coplay,Lehigh
Coraopolis,Allegheny
Corry,Erie
Corsica,Jefferson
Coudersport,Potter
Coupon,Cambria
Covington,Tioga
Cowansville,Armstrong
Cranberry,Venango
Cranberry Township,Butler
Cranesville,Erie
Creekside,Indiana
Creighton,Allegheny
Crescent,Allegheny
Cresco,Monroe
Cresson,Cambria
Cressona,Schuylkill
Cross Fork,Potter
Croydon,Bucks
Crum Lynne,Delaware
Crystal Spring,Fulton
Cuddy,Allegheny
Curwensville,Clearfield
Cyclone,Mckean
Daisytown,Washington
Dallas,Luzerne
